ride_id,sample_index,cadence_rpm,distance_m,elevation_m,speed_mps,fractional_cadence,heart_rate_bpm,latitude_semicircles,longitude_semicircles,power_w,temperature_c,timestamp_utc,unknown_107,accumulated_power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_pco,left_power_phase,left_power_phase_peak,right_pco,right_power_phase,right_power_phase_peak,speed_kph,latitude_deg,longitude_deg,timestamp_unix,timestamp_fit,gear_raw,gear_label,front_gear_index,rear_gear_index,grade_percent
20260513_22862540318,435,86,1271.42,127.0,3.406,0.0,,499815276,1678660093,205,29,2026-05-13 03:43:53,1,75236.0,22.0,175,75.0,17.0,67.0,16.0,"(337.5000052734376, 191.2500029882813)","(60.46875094482424, 120.93750188964847)",7.0,"(355.7812555590821, 188.437502944336)","(61.87500096679689, 120.93750188964847)",12.2616,41.89403247088194,140.70366357453167,1778643,,,,,,
20260513_22862540318,436,86,1275.13,127.20000000000005,3.312,0.0,,499815427,1678660566,210,28,2026-05-13 03:43:54,1,75446.0,21.0,174,77.0,17.0,69.0,16.0,"(334.6875052294923, 192.65625301025395)","(61.87500096679689, 122.34375191162113)",8.0,"(0.0, 192.65625301025395)","(67.50000105468752, 125.15625195556643)",11.9232,41.89404512755573,140.70370322093368,1778643,,,,,,
20260513_22862540318,437,84,1278.09,127.20000000000005,3.238,0.0,,499815558,1678660960,215,28,2026-05-13 03:43:55,1,75661.0,21.0,176,75.0,18.0,70.0,15.0,"(331.87500518554697, 189.84375296630864)","(60.46875094482424, 119.5312518676758)",7.0,"(0.0, 191.2500029882813)","(67.50000105468752, 123.75000193359378)",11.6568,41.89405610784888,140.70373624563217,1778643,,,,,,
20260513_22862540318,438,83,1281.22,127.39999999999998,3.172,0.0,,499815693,1678661378,215,28,2026-05-13 03:43:56,1,75876.0,24.0,176,81.0,20.0,74.0,15.0,"(334.6875052294923, 189.84375296630864)","(59.06250092285158, 118.12500184570315)",7.0,"(0.0, 187.03125292236334)","(63.28125098876955, 119.5312518676758)",11.4192,41.89406742341816,140.70377128198743,1778643,,,,,,
20260513_22862540318,439,83,1284.27,127.60000000000002,3.107,0.0,,499815850,1678661777,223,29,2026-05-13 03:43:57,1,76099.0,24.0,176,81.0,20.0,74.0,15.0,"(336.0937552514649, 189.84375296630864)","(59.06250092285158, 118.12500184570315)",8.0,"(354.3750055371095, 187.03125292236334)","(61.87500096679689, 118.12500184570315)",11.185200000000002,41.894080583006144,140.70380472578108,1778643,,,,,,
20260513_22862540318,440,82,1287.6,128.0,3.21,0.0,,499816000,1678662226,233,28,2026-05-13 03:43:58,1,76332.0,22.0,176,81.0,21.0,76.0,15.0,"(336.0937552514649, 189.84375296630864)","(59.06250092285158, 118.12500184570315)",8.0,"(350.1562554711915, 189.84375296630864)","(61.87500096679689, 119.5312518676758)",11.556,41.8940931558609,140.70384236052632,1778643,,,,,,
20260513_22862540318,441,82,1290.98,128.20000000000005,3.004,0.0,,499816145,1678662646,231,28,2026-05-13 03:43:59,1,76563.0,23.0,175,81.0,18.0,70.0,16.0,"(338.90625529541023, 189.84375296630864)","(66.09375103271486, 126.5625019775391)",11.0,"(350.1562554711915, 189.84375296630864)","(61.87500096679689, 119.5312518676758)",10.8144,41.8941053096205,140.70387756451964,1778643,,,,,,
20260513_22862540318,442,81,1294.14,128.39999999999998,3.098,0.0,,499816267,1678663073,218,29,2026-05-13 03:44:00,1,76781.0,23.0,176,81.0,18.0,70.0,16.0,"(338.90625529541023, 188.437502944336)","(67.50000105468752, 127.96875199951175)",11.0,"(350.1562554711915, 188.437502944336)","(61.87500096679689, 119.5312518676758)",11.1528,41.89411553554237,140.7039133552462,1778643,,,,,,
20260513_22862540318,443,80,1297.17,128.60000000000002,3.107,0.0,,499816381,1678663496,220,29,2026-05-13 03:44:01,1,77001.0,22.0,175,75.0,17.0,70.0,16.0,"(338.90625529541023, 188.437502944336)","(67.50000105468752, 127.96875199951175)",10.0,"(354.3750055371095, 184.218752878418)","(60.46875094482424, 116.7187518237305)",11.185200000000002,41.894125090911984,140.7039488106966,1778643,,,,,,
20260513_22862540318,444,79,1300.38,128.79999999999995,2.976,0.0,,499816531,1678663908,212,29,2026-05-13 03:44:02,1,77213.0,22.0,174,80.0,17.0,68.0,17.0,"(340.3125053173829, 189.84375296630864)","(67.50000105468752, 129.37500202148442)",10.0,"(None, None)","(None, None)",10.7136,41.89413766376674,140.70398334413767,1778643,,,,,,
